ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
ShapeNet2D_claire_sc4_layer4x5x6x7_relu_growthRate12_pre_shape
2019-06-12_10:36:40 - Epoch: 2, val_loss: 124.422355, val_weighted_mean_squared_error: 124.422355, val_weighted_shape_metric: 0.000000, loss: 28.690687, weighted_mean_squared_error: 28.690687, weighted_shape_metric: 0.000000
2019-06-12_10:36:45 - Epoch: 3, val_loss: 89.546368, val_weighted_mean_squared_error: 89.546368, val_weighted_shape_metric: 0.000000, loss: 11.154839, weighted_mean_squared_error: 11.154839, weighted_shape_metric: 0.000000
2019-06-12_10:36:50 - Epoch: 4, val_loss: 58.857420, val_weighted_mean_squared_error: 58.857420, val_weighted_shape_metric: 0.000000, loss: 7.961536, weighted_mean_squared_error: 7.961536, weighted_shape_metric: 0.000000
2019-06-12_10:36:54 - Epoch: 5, val_loss: 67.116522, val_weighted_mean_squared_error: 67.116522, val_weighted_shape_metric: 0.000000, loss: 6.042374, weighted_mean_squared_error: 6.042374, weighted_shape_metric: 0.000000
2019-06-12_10:36:59 - Epoch: 6, val_loss: 47.453215, val_weighted_mean_squared_error: 47.453215, val_weighted_shape_metric: 0.000000, loss: 3.907785, weighted_mean_squared_error: 3.907785, weighted_shape_metric: 0.000000
2019-06-12_10:37:04 - Epoch: 7, val_loss: 28.486657, val_weighted_mean_squared_error: 28.486657, val_weighted_shape_metric: 0.000000, loss: 3.091322, weighted_mean_squared_error: 3.091322, weighted_shape_metric: 0.000000
2019-06-12_10:37:08 - Epoch: 8, val_loss: 19.958272, val_weighted_mean_squared_error: 19.958272, val_weighted_shape_metric: 0.000000, loss: 2.100563, weighted_mean_squared_error: 2.100563, weighted_shape_metric: 0.000000
2019-06-12_10:37:13 - Epoch: 9, val_loss: 17.091678, val_weighted_mean_squared_error: 17.091678, val_weighted_shape_metric: 0.000000, loss: 1.770354, weighted_mean_squared_error: 1.770354, weighted_shape_metric: 0.000000
2019-06-12_10:37:18 - Epoch: 10, val_loss: 11.976911, val_weighted_mean_squared_error: 11.976911, val_weighted_shape_metric: 0.000000, loss: 1.419388, weighted_mean_squared_error: 1.419388, weighted_shape_metric: 0.000000
ShapeNet2D_FCS_claire_sc1_layer2_relu_growthRate2_with_mom_test
